countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
NGA,Nigeria,,national,2024-12-16,MIXED,health access,32641386,0.496022927721473
NGA,Nigeria,,national,2024-12-16,MIXED,market access,34625387,0.21626809196349492
NGA,Nigeria,,national,2024-12-15,MIXED,fcs,98438105,0.48549432989016006
NGA,Nigeria,,national,2024-12-15,MIXED,rcsi,57140734,0.2818167173172
NGA,Nigeria,,national,2024-12-15,MIXED,health access,32578117,0.49487290693858277
NGA,Nigeria,,national,2024-12-15,MIXED,market access,34503983,0.21550980868555164
NGA,Nigeria,,national,2024-12-14,MIXED,fcs,98414708,0.48537893645754127
NGA,Nigeria,,national,2024-12-14,MIXED,rcsi,57360269,0.28289944590536686
NGA,Nigeria,,national,2024-12-14,MIXED,health access,32821555,0.4973047198097321
NGA,Nigeria,,national,2024-12-14,MIXED,market access,34604130,0.21613531530060623
NGA,Nigeria,,national,2024-12-13,MIXED,fcs,98482557,0.48571356606859195
NGA,Nigeria,,national,2024-12-13,MIXED,rcsi,57318859,0.2826952127966459
NGA,Nigeria,,national,2024-12-13,MIXED,health access,32948842,0.4987813375841104
NGA,Nigeria,,national,2024-12-13,MIXED,market access,34606401,0.21614951114371056
NGA,Nigeria,,national,2024-12-12,MIXED,fcs,98807076,0.487314085851471
NGA,Nigeria,,national,2024-12-12,MIXED,rcsi,57070855,0.281472063125184
NGA,Nigeria,,national,2024-12-12,MIXED,health access,33326059,0.5037865792124663
NGA,Nigeria,,national,2024-12-12,MIXED,market access,34853666,0.21769390714276998
NGA,Nigeria,,national,2024-12-11,MIXED,fcs,98823372,0.48739447042587286
NGA,Nigeria,,national,2024-12-11,MIXED,rcsi,56980864,0.281028229710866
NGA,Nigeria,,national,2024-12-11,MIXED,health access,33323244,0.5039687489684475
NGA,Nigeria,,national,2024-12-11,MIXED,market access,35187513,0.21977909607567225
NGA,Nigeria,,national,2024-12-10,MIXED,fcs,98407047,0.48534115259263155
NGA,Nigeria,,national,2024-12-10,MIXED,rcsi,56961488,0.28093266775204984
NGA,Nigeria,,national,2024-12-10,MIXED,health access,33154936,0.5026526418674799
NGA,Nigeria,,national,2024-12-10,MIXED,market access,35144727,0.21951185480881488
NGA,Nigeria,,national,2024-12-09,MIXED,fcs,98269978,0.48466513995940685
NGA,Nigeria,,national,2024-12-09,MIXED,rcsi,57062751,0.28143209439509287
NGA,Nigeria,,national,2024-12-09,MIXED,health access,33155642,0.5021442858579775
NGA,Nigeria,,national,2024-12-09,MIXED,market access,35726658,0.22314656765499744
NGA,Nigeria,,national,2024-12-08,MIXED,fcs,98028924,0.4834762591908228
NGA,Nigeria,,national,2024-12-08,MIXED,rcsi,57131033,0.2817688646464703
NGA,Nigeria,,national,2024-12-08,MIXED,health access,33231382,0.5029121085252747
NGA,Nigeria,,national,2024-12-08,MIXED,market access,35921115,0.2243611243653473
NGA,Nigeria,,national,2024-12-07,MIXED,fcs,98035109,0.4835067333382146
NGA,Nigeria,,national,2024-12-07,MIXED,rcsi,57229612,0.2822550523034074
NGA,Nigeria,,national,2024-12-07,MIXED,health access,33159140,0.5024388171350215
NGA,Nigeria,,national,2024-12-07,MIXED,market access,36154011,0.22581579594393722
NGA,Nigeria,,national,2024-12-06,MIXED,fcs,98298580,0.48480619599751834
NGA,Nigeria,,national,2024-12-06,MIXED,rcsi,56824221,0.2802556702602652
NGA,Nigeria,,national,2024-12-06,MIXED,health access,33283085,0.5054951858493395
NGA,Nigeria,,national,2024-12-06,MIXED,market access,36194013,0.22606563594543888
NGA,Nigeria,,national,2024-12-05,MIXED,fcs,98372515,0.4851708191397151
NGA,Nigeria,,national,2024-12-05,MIXED,rcsi,57065498,0.2814456632646482
NGA,Nigeria,,national,2024-12-05,MIXED,health access,33459366,0.5068299535088936
NGA,Nigeria,,national,2024-12-05,MIXED,market access,36078296,0.2253428775577336
NGA,Nigeria,,national,2024-12-04,MIXED,fcs,98475551,0.4856789953607259
NGA,Nigeria,,national,2024-12-04,MIXED,rcsi,57110773,0.28166893772634133
NGA,Nigeria,,national,2024-12-04,MIXED,health access,33443030,0.5072168440528823
NGA,Nigeria,,national,2024-12-04,MIXED,market access,36134380,0.22569315978820764
